Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
279,What is the key change introduced by the Revised Income Tax Bill passed in the Lok Sabha in 2025?,Basic exemption limit raised to ₹15 lakh annually,Income Tax Act 1961 retained with minor changes,Full replacement of Income Tax Act 1961 with a modern framework,Abolition of TDS,Introduction of new wealth tax,Full replacement of Income Tax Act 1961 with a modern framework
280,Which country announced it will recognise a Palestinian state at the UNGA in September 2025?,Canada,New Zealand,Norway,Ireland,Australia,Australia
281,"India signed an MoU with which country on July 18, 2025, to promote trade alliances between cooperatives?",Indonesia,Senegal,Zambia,Kenya,South Africa,Zambia
282,"Under the JATAN initiative, how many artefacts from ASI’s Archaeological Site Museums in Goa and Nagarjunakonda have been digitized?","1,234","8,667","7,941",726,"9,000+","8,667"
283,Which Indian company with ties to Russia is sending a shipment to China for the first time since 2021?,Reliance Industries,Indian Oil Corporation,Nayara Energy,ONGC,Bharat Petroleum,Nayara Energy
284,"Under the India Semiconductor Mission (ISM), how many new semiconductor assembly and testing facilities have been approved by the Union Cabinet in Punjab, Odisha, and Andhra Pradesh?",3,5,8,6,4,4
285,Which Indian company has become the first to join the International Council on Mining and Metals (ICMM)?,Hindustan Zinc Ltd,Coal India Ltd,Vedanta Ltd,NMDC Ltd,SAIL,Hindustan Zinc Ltd
286,In which year will the Union Public Service Commission (UPSC) begin its Centenary Year celebrations?,2024,2025,2026,2027,2028,2025
287,Who recently overtook Virat Kohli to become the fifth-highest run-getter in T20 cricket?,Chris Gayle,Glenn Maxwell,Jos Buttler,Babar Azam,David Warner,David Warner
288,"Which Indian group won the Equator Prize 2025, also known as the ""Nobel Prize for Biodiversity Conservation""?",Self Employed Women’s Association,Kudumbashree Mission,Bibi Fatima Women’s Self-Help Group,Narmada Bachao Andolan,Barefoot College,Bibi Fatima Women’s Self-Help Group
289,What is the theme of World Elephant Day 2025?,"Save Elephants, Save Nature",Bringing the world together to help elephants,Protecting Elephant Corridors,Elephants and Ecosystem Balance,Global Call for Elephant Conservation,Bringing the world together to help elephants
290,"As per RBI guidelines, banks must issue all customer communications in which format to ensure clarity and convenience?",Only English,Hindi & English,"Hindi, English & Regional Language",English & Regional Language,Any language chosen by the bank,"Hindi, English & Regional Language"
291,RBI’s FREE-AI Committee headed by Pushpak Bhattacharya has recommended how many actionable recommendations for ethical AI adoption in the financial sector?,15,20,26,30,32,26
292,From which date will the Reserve Bank of India (RBI) introduce the new mechanism for clearance of cheques within hours of being presented to banks?,"September 1, 2025","October 4, 2025","January 2, 2026","April 1, 2026","July 1, 2026","October 4, 2025"
293,How much does SBI plan to raise through Tier-II bonds in FY26?,"₹10,000 crore","₹12,000 crore","₹15,000 crore","₹20,000 crore","₹25,000 crore","₹15,000 crore"
294,"As per the government, what was the CAGR of UPI transactions between FY 2017-18 and FY 2024-25?",41%,74%,114%,92%,86%,114%
295,"Who has been appointed as a member of the Reserve Bank of India’s (RBI) Monetary Policy Committee (MPC), replacing Rajiv Ranjan?",Poonam Gupta,Sanjay Malhotra,Nagesh Kumar,Saugata Bhattacharya,Indranil Bhattacharyya,Indranil Bhattacharyya
296,"As of August 2025, how many Ayushman Bharat Health Accounts (ABHAs) have been created under ABDM?",59.21 crore,67.19 crore,79.91 crore,82.45 crore,76.84 crore,79.91 crore
297,Which city was proposed by India as the host for the 2030 Commonwealth Games in its Expression of Interest (EOI)?,Delhi,Bhubaneswar,Ahmedabad,Mumbai,Hyderabad,Ahmedabad
298,"Which initiative of NITI Aayog recently hosted ‘Mega Tinkering Day’, India’s largest-ever school-based tinkering event?",Startup India Mission,Atal Innovation Mission (AIM),Digital India Initiative,Make in India Programme,PM Gati Shakti Plan,Atal Innovation Mission (AIM)
299,"What is SHRESTH, recently launched by the Union Health Secretary?",A healthcare insurance scheme,A drug regulatory benchmarking index,A national vaccination programme,A digital health card initiative,A pharmaceutical export promotion council,A drug regulatory benchmarking index
300,"The Government of which state has launched the “Garuda Drishti” scheme, a social media monitoring and cyber-intelligence initiative?",Maharashtra,Gujarat,Karnataka,Uttar Pradesh,Madhya Pradesh,Maharashtra
301,How much private investment will the Pixxel-led consortium make to build India’s first indigenous EO satellite constellation?,₹800 crore,"₹1,000 crore","₹1,200 crore","₹1,500 crore","₹2,000 crore","₹1,200 crore"
302,What is the theme of the 79th Independence Day celebrations (2025)?,Viksit Bharat,Azadi Ka Amrit Mahotsav,Naya Bharat,Swachh Bharat,Amrit Kaal,Naya Bharat
303,"MY Bharat, Department of Youth Affairs, Ministry of Youth Affairs & Sports, recently signed an MoU with which organisation to collaborate on youth leadership development and capacity building?",National Skill Development Corporation (NSDC),NITI Aayog,School of Ultimate Leadership Foundation (SOUL),Indian Youth Parliament Association,Nehru Yuva Kendra Sangathan (NYKS),School of Ultimate Leadership Foundation (SOUL)
304,Who won the ICC Men’s Player of the Month for July 2025?,Virat Kohli,Rohit Sharma,Shubman Gill,Babar Azam,Kane Williamson,Shubman Gill
305,UIDAI has signed a 5-year R&D agreement with which institute to enhance Aadhaar security and reliability?,IIT Delhi,IISc Bengaluru,DRDO,NIT Trichy,Indian Statistical Institute (ISI),Indian Statistical Institute (ISI)
306,Where has Western Railway commissioned India’s first 2×25 kV electric traction substation under the Mission Raftaar initiative?,"Nagda–Khachrod section, Madhya Pradesh","Kota–Chittorgarh section, Rajasthan","Surat–Vapi section, Gujarat","Jhansi–Kanpur section, Uttar Pradesh","Asansol–Dhanbad section, West Bengal","Nagda–Khachrod section, Madhya Pradesh"
307,"Which organisations jointly organised the “Leaders’ Dialogue on Green & Digital Maritime Corridors” in Mumbai under the aegis of the Ministry of Ports, Shipping and Waterways (MoPSW)?",Cochin Port Authority & Indian Navy,Jawaharlal Nehru Port Authority (JNPA) & Indian Ports Association (IPA),Paradip Port Authority & Indian Maritime University,Shipping Corporation of India & Inland Waterways Authority,Kandla Port Authority & Directorate General of Shipping,Jawaharlal Nehru Port Authority (JNPA) & Indian Ports Association (IPA)
308,How many sites have been finalized under PM MITRA Parks and what is the total outlay?,"5 sites, ₹3,200 crore","6 sites, ₹5,000 crore","7 sites, ₹4,445 crore","8 sites, ₹4,000 crore","9 sites, ₹4,600 crore","7 sites, ₹4,445 crore"
309,The Cabinet has approved an investment of ₹8146.21 crore for the construction of which Hydro Electric Project in Arunachal Pradesh?,Subansiri Lower HEP,Ranganadi-II HEP,Tato-II HEP,Kameng HEP,Pare HEP,Tato-II HEP
310,"The Ministry of Home Affairs recently issued a gazette notification tightening rules for which category of cardholders under the Citizenship Act, 1955?",Person of Indian Origin (PIO) cardholders,Overseas Citizens of India (OCI) cardholders,Aadhaar cardholders,Voter ID cardholders,PAN cardholders,Overseas Citizens of India (OCI) cardholders
311,India’s annual inflation rate based on the Wholesale Price Index (WPI) fell to what level in July 2025?,(-) 1.36%,(-) 0.13%,(-) 0.58%,0.75%,1.20%,(-) 0.58%
312,From which date will SBI’s revised IMPS charges come into effect?,August 1,August 10,August 15,September 1,July 31,August 15
313,HDFC ERGO General Insurance has partnered with which digital payments platform to launch an affordable health insurance solution targeting the “Missing Middle”?,Paytm,Google Pay,Amazon Pay,BharatPe,PhonePe,PhonePe
314,Which UPI app processed the highest number of transactions in July 2025?,Google Pay,Paytm,PhonePe,Navi,super.money,PhonePe
315,Standard & Poor’s (S&P) Global Ratings recently upgraded India’s long-term sovereign credit rating after 18 years. What is the new rating?,BBB-,BBB,A-2,A-3,A+,BBB
316,Who has been appointed as Director on the Tata Sons Board at the 107th AGM?,Ratan Tata,Noel Tata,Venu Srinivasan,Saurabh Agarwal,Anand Mahindra,Noel Tata
317,By what percentage did the number of Kisan Credit Card (KCC) accounts in public sector banks decline in FY25?,2.5%,1.8%,3.2%,0.9%,2.0%,1.8%
318,"On the 79th Independence Day (2025), Prime Minister Narendra Modi broke whose record for the most consecutive Independence Day addresses from the Red Fort?",Atal Bihari Vajpayee,Indira Gandhi,Jawaharlal Nehru,Manmohan Singh,Lal Bahadur Shastri,Indira Gandhi
319,What is the total outlay of the newly launched PM Viksit Bharat Rozgar Yojana (PM-VBRY)?,"₹50,000 crore","₹75,000 crore",₹1 trillion,₹1.5 trillion,₹2 trillion,₹1 trillion
320,Which authority launched India’s first Property Rating Framework for Digital Connectivity?,SEBI,TRAI,NITI Aayog,DoT,MeitY,TRAI
321,"India recently achieved its first-ever deep ocean human expedition with aquanauts reaching 4,025 m and 5,002 m in the Atlantic Ocean. The mission was conducted in collaboration with which institute?",Woods Hole Oceanographic Institution (USA),"IFREMER, France",CSIR – National Institute of Oceanography (India),"JAMSTEC, Japan",National Oceanic and Atmospheric Administration (USA),"IFREMER, France"
322,"The Government has recently approved a ₹47,000 crore capex plan for which telecom company?",Jio,Airtel,Vodafone Idea,BSNL,MTNL,BSNL
323,The mascot of the first-ever Khelo India Water Sports Festival 2025 is?,Snow Leopard,Himalayan Kingfisher,Black-necked Crane,Blue Pigeon,Himalayan Monal,Himalayan Kingfisher
324,Which bill did Finance Minister Nirmala Sitharaman recently introduce in the Lok Sabha to amend India’s insolvency law?,"Insolvency and Bankruptcy Code (Amendment) Bill, 2023","Insolvency and Bankruptcy Code (Amendment) Bill, 2024","Insolvency and Bankruptcy Code (Amendment) Bill, 2025","Insolvency and Bankruptcy Code (Amendment) Bill, 2021","Corporate Insolvency and Resolution Bill, 2025","Insolvency and Bankruptcy Code (Amendment) Bill, 2025"
325,Bihar’s Road Construction Department has partnered with which institution to launch an AI-driven bridge management system?,IIT Bombay,IIT Delhi,IIT Kanpur,IIT Madras,NIT Patna,IIT Delhi
326,Who launched the AI-powered tool ‘SabhaSaar’ for Gram Sabha meetings?,Amit Shah,Dharmendra Pradhan,Nitin Gadkari,Anurag Thakur,Rajiv Ranjan Singh ‘Lalan’,Rajiv Ranjan Singh ‘Lalan’
327,Who recently became India’s 89th Chess Grandmaster (GM) in July 2025?,Divya Deshmukh,A. Harikrishnan,S. Rohith Krishna,R. Praggnanandhaa,Arjun Erigaisi,S. Rohith Krishna
328,India and the U.S. will hold the 21st edition of which joint military exercise in Alaska this month?,Vajra Prahar,Yudh Abhyas,Malabar,Garuda Shakti,Shakti,Yudh Abhyas
329,"Dr Vece Paes, who recently passed away, was associated with which sport?",Hockey,Tennis,Football,Rugby,Athletics,Hockey
330,Which bank received the highest number of customer complaints in FY25 among public sector banks?,Punjab National Bank,Bank of Baroda,State Bank of India,Canara Bank,Union Bank of India,State Bank of India
331,Which bank has launched a special personal loan scheme for Agniveers on India’s 79th Independence Day?,Punjab National Bank,Bank of Baroda,HDFC Bank,State Bank of India,ICICI Bank,State Bank of India
332,From which date has NPCI directed banks and payment apps to stop peer-to- peer (P2P) UPI “collect requests” to curb frauds?,"September 1, 2025","October 1, 2025","November 1, 2025","December 1, 2025","January 1, 2026","October 1, 2025"
333,Which bank will manage the online payment services for India’s first barrier- less toll collection system?,Punjab National Bank,Bank of Baroda,HDFC Bank,State Bank of India,ICICI Bank,ICICI Bank
334,The Ministry of Skill Development and Entrepreneurship (MSDE) recently held an interactive session with northeastern states on which theme?,Digital Skilling Mission,National Scheme for ITI Upgradation,Startup India Skill Drive,Skill India 2.0 Initiative,Pradhan Mantri Kaushal Samvardhan Yojana,National Scheme for ITI Upgradation
335,"As per the Digital Agriculture Mission, how many farmers currently have digital IDs linked to land records?",50 million,70 million,90 million,100 million,110 million,70 million
336,Which facility was launched by NHAI on 15th August 2025 to streamline toll payments?,One Nation One Toll Card,FASTag Annual Pass,Digital Toll Wallet,MLFF System,Bharat e-Toll,FASTag Annual Pass
337,Who has been announced as NDA’s candidate for the Vice-Presidential election 2025?,Jagdeep Dhankhar,C.P. Radhakrishnan,Venkaiah Naidu,Ram Nath Kovind,Anurag Thakur,C.P. Radhakrishnan
338,Raksha Mantri Rajnath Singh recently interacted with 30 meritorious tribal students from the Andaman & Nicobar Islands under which initiative?,Aarohan: Dweep to Delhi,Ek Bharat Shreshtha Bharat,Bharat Darshan Yatra,Mission Samrasta,Yuva Sangam,Aarohan: Dweep to Delhi
339,Where was the ISRO–Muskaan Foundation space lab inaugurated in Arunachal Pradesh?,Itanagar,Pasighat,Tawang,Mechuka,Ziro,Mechuka
340,Which organisation published the Top 500 Global Brands List 2025?,Interbrand,TopBrand Union,Brand Finance,World Economic Forum,Fortune Global Insights,TopBrand Union
341,"In the proposed new GST structure, what will be the highest tax rate?",28%,30%,35%,40%,18%,40%
342,When was the Nasha Mukt Bharat Abhiyaan (NMBA) launched?,2018,2019,2020,2021,2022,2020
343,Who has been chosen for the Lifetime Achievement Award at the 17th International Documentary and Short Film Festival of Kerala (IDSFFK)?,Anand Patwardhan,Deepa Dhanraj,Shaji N. Karun,Mira Nair,Rakesh Sharma,Rakesh Sharma
344,"Which mission was launched by India in 2025 to ensure supply of critical minerals like lithium, cobalt, and rare earths for self-reliance?",National Mineral Development Mission,National Rare Earths Mission,National Critical Mineral Mission (NCMM),Mineral Security Mission,Clean Energy Mineral Mission,National Critical Mineral Mission (NCMM)
345,Which two organisations signed an MoU to roll out the e-Sushrut@Clinic platform?,NHA & C-DAC,NITI Aayog & NIC,ICMR & AIIMS,Ministry of Health & IIT Delhi,DRDO & DGHS,NHA & C-DAC
346,"Which two highway projects worth ₹11,000 crore will PM Modi inaugurate in Delhi?",Delhi–Meerut Expressway & Eastern Peripheral Expressway,Dwarka Expressway (Delhi section) & UER-II (Alipur–Dichau Kalan stretch),Delhi–Mumbai Expressway & Western Peripheral Expressway,Yamuna Expressway & Agra–Lucknow Expressway,Delhi–Jaipur Expressway & Delhi–Amritsar Expressway,Dwarka Expressway (Delhi section) & UER-II (Alipur–Dichau Kalan stretch)
347,Which institute’s researchers have developed a low-power miniaturised technology to detect trace leakage of hydrogen and nitrogen dioxide?,IIT Madras,IISc Bengaluru,IISER Thiruvananthapuram,IIT Bombay,NIT Trichy,IISER Thiruvananthapuram
348,Who has been given the additional charge as the Governor of Nagaland after the demise of L,Ganesan in August 2025? A. Ajay Kumar Bhalla,Arif Mohammed Khan,Ramesh Bais,Anusuiya Uikey,C. P. Radhakrishnan,Ganesan in August 2025? A. Ajay Kumar Bhalla
349,Where was the 12th edition of the Sri Lanka–India Naval Exercise (SLINEX-25) conducted in August 2025?,"Kochi, India","Colombo, Sri Lanka","Visakhapatnam, India","Trincomalee, Sri Lanka","Chennai, India","Colombo, Sri Lanka"
350,Who is the author of the book “The Weight Loss Revolution – Weight Loss Drugs and How to Use Them”?,Dr. Devi Shetty & Rujuta Diwekar,Dr. Ambrish Mithal & Shivam Vij,Dr. Naresh Trehan & Shiv Khera,Dr. Sudhanshu Bhattacharya & Piyush Pandey,Dr. Randeep Guleria & Chetan Bhagat,Dr. Ambrish Mithal & Shivam Vij
351,LIC’s special revival campaign for lapsed policies will run between which dates?,1 July – 31 August,15 August – 15 October,18 August – 17 October,1 September – 31 October,10 August – 10 October,18 August – 17 October
352,Which bank partnered with IndiGo to launch the IndiGo IDFC FIRST Credit Card offering Mastercard and RuPay networks?,HDFC Bank,ICICI Bank,IDFC FIRST Bank,Axis Bank,Yes Bank,IDFC FIRST Bank
353,Which state received the highest SASCI fund allocation in FY26 (till 11 Aug 2025)?,Bihar,Rajasthan,Maharashtra,Uttar Pradesh,Madhya Pradesh,Uttar Pradesh
354,Which Indian firm became the first to receive a UAE licence to sell investment funds and portfolios to retail investors?,HDFC International,Kotak International,ICICI International,Axis Global,SBI Global,Kotak International
355,Who won the Best Film & Best Director Award at the Indian Film Festival of Melbourne (IFFM) 2025?,Sanjay Leela Bhansali,Neeraj Ghaywan,Rajkumar Hirani,Anurag Kashyap,None of these,Neeraj Ghaywan
356,Which country is hosting the Asian Open Short Track Speed Skating Trophy 2025 for the first time?,China,Japan,India,Indonesia,Thailand,India
357,"Recently, Union Minister of State Kirti Vardhan Singh launched a customized version of the Hostile Activity Watch Kernel (HAWK) wildlife crime management system for which state?",Kerala,Karnataka,Maharashtra,Madhya Pradesh,Tamil Nadu,Tamil Nadu
358,What is the purpose of the newly unveiled Golden Dome Missile Defense System by the United States?,To enhance nuclear submarine capabilities,To shield the U.S. from foreign missile threats,To develop offensive hypersonic missiles,To control military satellites,To expand NATO’s joint defense operations,To shield the U.S. from foreign missile threats
359,Which railway zone has become the first in India to shift to compostable bio- plastic on trains?,Eastern Railway,Northeast Frontier Railway,Northern Railway,South Central Railway,Western Railway,Northeast Frontier Railway
360,Russia has planned to launch its Venera-D mission to Venus between which years?,2028 – 2030,2030 – 2032,2032 – 2034,2034 – 2036,2036 – 2038,2034 – 2036
361,"On 14 August 2025, Prime Minister Narendra Modi marked the completion of how many years of the Jal Jeevan Mission (JJM)?",4 years,5 years,6 years,7 years,10 years,6 years
362,"Union Minister H.D. Kumaraswamy recently launched the official logo, brochure, and website of Bharat Steel 2026. What is its primary objective?",To promote foreign investment in Indian mining sector,To conduct the largest steel exhibition in India and position India as a global hub for advanced steel production,To enhance exports of iron ore from India,To attract private participation in coal mining,To boost aluminium and copper production in India,To conduct the largest steel exhibition in India and position India as a global hub for advanced steel production
363,The Government has proposed to establish a National Veterinary Blood Bank Network (N-VBBN) under which department?,Ministry of Health & Family Welfare,"Ministry of Environment, Forest & Climate Change",Department of Animal Husbandry & Dairying,Ministry of Rural Development,Ministry of Agriculture & Farmers Welfare,Department of Animal Husbandry & Dairying
364,Who won the Quantbox Chennai Grand Masters 2025 (Masters Section) title?,GM Vincent Keymer,GM Viswanathan Anand,GM Magnus Carlsen,GM R Praggnanandhaa,GM D Gukesh,GM Vincent Keymer
365,Which state is hosting the 12th Men’s Asia Cup Hockey 2025 for the first time?,Odisha,Punjab,Bihar,Haryana,Uttar Pradesh,Bihar
366,Who won the Women’s Singles title at the Saipan International 2025 Badminton Tournament?,Tanya Hemanth,PV Sindhu,Saina Nehwal,Malvika Bansod,Tasnim Mir,Tanya Hemanth
367,Infosys announced the acquisition of a 75% stake in which Telstra subsidiary to form a Joint Venture focused on AI-powered cloud and digital services?,TPG Telecom,Optus Digital,Versent Group,Telstra Purple,Cloud Access,Versent Group
368,The Indian Navy recently received ‘INS Ikshak (Yard 3027)’. Which of the following statements is correct about it?,It is the 1st ship of the Survey Vessel (Large) class,It is the 3rd ship of the Survey Vessel (Large) class built by GRSE,It was commissioned in 2022 as India’s first indigenous survey vessel,It is the only SVL ship without accommodation for women officers,It was built by Mazagon Dock Shipbuilders Limited,It is the 3rd ship of the Survey Vessel (Large) class built by GRSE
369,"Former Australia captain and coach Bob Simpson, who recently passed away at the age of 89, was associated with which sport?",Football,Hockey,Tennis,Cricket,Rugby,Cricket
370,World Humanitarian Day is observed every year on which date?,10 August,15 August,19 August,21 August,25 August,19 August
371,By how much did the foreign liabilities of India’s mutual fund industry rise in FY25 as per RBI survey?,15.5%,18.2%,19.9%,21.5%,25.0%,19.9%
372,"As per the RBI’s Financial Stability Report (June 2025), what was India’s Gross Non-Performing Assets (GNPA) ratio at the end of March 2025?",3.8%,3.0%,2.6%,2.3%,2.0%,2.3%
373,Recently SEBI proposed flexibility in which two key norms for companies aspiring to list?,FDI & FPI Norms,CRR & SLR Norms,MPS & MPO Norms,GST & Income Tax Norms,FDI & ECB Norms,MPS & MPO Norms
374,"The Cabinet Committee on Economic Affairs approved construction of a 6- Lane Capital Region Ring Road (Bhubaneswar Bypass) in which state at a cost of ₹8,307.74 crore?",Karnataka,Odisha,West Bengal,Andhra Pradesh,Jharkhand,Odisha
375,The Federation of Associations in Indian Tourism and Hospitality (FAITH) recently unveiled its ‘Tourism Vision 2047’. What is the targeted size of India’s tourism economy by 2047 under this roadmap?,USD 1 trillion,USD 1.5 trillion,USD 2 trillion,USD 3 trillion,USD 4 trillion,USD 3 trillion
376,Which railway unit has commissioned India’s first removable solar panel system installed between railway tracks?,"Integral Coach Factory (ICF), Chennai","Chittaranjan Locomotive Works (CLW), West Bengal","Banaras Locomotive Works (BLW), Varanasi","Modern Coach Factory (MCF), Raebareli","Rail Coach Factory (RCF), Kapurthala","Banaras Locomotive Works (BLW), Varanasi"
377,Which institute has developed a silicon photonics-based Quantum Random Number Generator (QRNG)?,IIT Bombay,IIT Delhi,IIT Madras,IISc Bengaluru,DRDO,IIT Madras
378,Where was the six-day Indian film festival recently inaugurated in Sri Lanka?,Colombo,Kandy,Trincomalee campus of Eastern University,Jaffna,None of these,Trincomalee campus of Eastern University
379,Stand-Up India Scheme was launched in which year?,2014,2015,2016,2017,2019,2016
380,"Which ministry, in collaboration with the Ministry of External Affairs, organized a two-week International Certificate program on “Heritage and Indigenous Textiles” under the ITEC Programme?",Ministry of Culture,Ministry of Commerce & Industry,Ministry of Textiles,Ministry of Tourism,Ministry of Education,Ministry of Textiles
381,"According to Brand Finance Football 50–2025 report, which club has been ranked as the world’s most valuable football club?",FC Barcelona,Real Madrid,Manchester City,Bayern Munich,Paris Saint-Germain,Real Madrid
382,What is the name of the new scheme launched by West Bengal CM Mamata Banerjee for migrant workers facing harassment?,Swasthya Sathi,Shramshree,Karmajyoti,Utsah,Shramik Bandhu,Shramshree
383,Who was crowned Miss Universe India 2025 at a glittering event held in Jaipur?,Tanya Sharma,Manika Vishwakarma,Mehak Dhingra,Amishi Kaushik,Rhea Singha,Manika Vishwakarma
384,By which year has the Government of India announced that an Indian astronaut will step on the Moon?,2027,2035,2040,2047,2050,2040
385,Which organisation launched a new Medical Application Portal for ISO 15189:2022 applicant laboratories to enhance transparency and efficiency in the accreditation process?,Indian Council of Medical Research (ICMR),National Accreditation Board for Testing and Calibration Laboratories (NABL),Bureau of Indian Standards (BIS),National Board of Examinations (NBE),NITI Aayog,National Accreditation Board for Testing and Calibration Laboratories (NABL)
386,"As per the Cabinet approval, what is the estimated cost of the Green Field Airport at Kota-Bundi (Rajasthan)?",₹1200 crore,₹1507 crore,₹2000 crore,₹2500 crore,₹3500 crore,₹1507 crore
387,Which airport has launched the world’s first AI-powered passenger corridor under the “Travel without Borders” initiative?,Singapore Changi Airport,London Heathrow Airport,"Hamad International Airport, Doha",Dubai International Airport (DXB),Hong Kong International Airport,Dubai International Airport (DXB)
388,Which of the following countries was not among the top 5 sources of Foreign Tourist Arrivals (FTAs) in India in the last 5 years?,United States,Bangladesh,United Kingdom,Australia,France,France
389,"Njattyela Sreedharan, who recently passed away, was best known for his work in which field?",Classical Dance,Linguistics,Ayurveda,Carnatic Music,Archaeology,Linguistics
390,"Indian Akshay Urja Day, observed on 20 August every year, is dedicated to which theme?",Energy Conservation,Renewable Energy,Nuclear Power,Fossil Fuel Usage,Electric Mobility,Renewable Energy
391,Which two companies have partnered to launch the affordable health insurance plan ‘Suraksha Sankalp’?,HDFC ERGO & Paytm,ICICI Lombard & Google Pay,SBI General & Amazon Pay,HDFC ERGO & PhonePe,Bajaj Allianz & PhonePe,HDFC ERGO & PhonePe
392,"During FY 2024–25, NABARD and NCDC together infused more than Rs 42,000 crore into cooperative banks. Which state was the top beneficiary of NABARD disbursements?",Odisha,Karnataka,Madhya Pradesh,Tamil Nadu,Rajasthan,Madhya Pradesh
393,India Exim Bank recently signed a $40 million credit line agreement with which bank?,African Development Bank (AfDB),World Bank,ECOWAS Bank for Investment and Development (EBID),Asian Development Bank (ADB),IMF,ECOWAS Bank for Investment and Development (EBID)
394,Which Public Sector Bank became the first in India to migrate its corporate website to the secure ‘.bank.in’ domain?,State Bank of India (SBI),Punjab National Bank (PNB),Bank of Baroda (BoB),Union Bank of India,Canara Bank,Punjab National Bank (PNB)
395,"Which institute, recently declared India’s Best Ayurvedic Institution by NCISM, is the first Deemed University in the Ayush sector?","All India Institute of Ayurveda, New Delhi","Kerala Ayurveda Academy, Kochi","Gujarat Ayurved University, Jamnagar","Banaras Hindu University, Varanasi","National Institute of Ayurveda, Jaipur","National Institute of Ayurveda, Jaipur"
396,How many LCA Tejas Mark 1A fighter jets were approved for procurement by the Cabinet Committee on Security (CCS) in 2025?,73,83,97,110,150,97
397,The Centre has implemented the “Anna-Chakra” Supply Chain Tool in 30 States/UTs to optimise which system?,National Food Security Mission,Public Distribution System (PDS),Pradhan Mantri Fasal Bima Yojana,National Rural Employment Guarantee Scheme,Mid-Day Meal Scheme,Public Distribution System (PDS)
398,IndianOil recently signed an MoU with which airline for the supply of Sustainable Aviation Fuel (SAF)?,IndiGo,AirAsia India,Air India,Vistara,SpiceJet,Air India
399,"Who launched the Press Sewa Portal, a single-window digital platform to simplify newspaper and periodical registration, at the ‘Vartalap’ workshop in Hyderabad?",Ministry of Information & Broadcasting,Press Registrar General of India Yogesh Baweja,PIB Director General,Union Minister of Information & Broadcasting,"Chief Information Officer, Hyderabad",Press Registrar General of India Yogesh Baweja
400,"India’s first Hydrogen-powered train, developed under the “Hydrogen for Heritage” initiative, is slated for trial runs on which route?",Chennai – Bengaluru,Mettupalayam – Ooty,Shimla – Kalka,Delhi – Agra,Jind – Sonipat,Jind – Sonipat
401,"The recently proposed bills suggest that the Prime Minister, Chief Ministers, Union Ministers, and State Ministers must automatically lose their positions if they are arrested and held in judicial custody for how many consecutive days on charges of serious crimes?",15 days,30 days,45 days,60 days,90 days,30 days
402,What is the payload capacity of ISRO’s upcoming Next Generation Launch Vehicle (NGLV) into Low Earth Orbit (LEO)?,"25,000 kg","40,000 kg","50,000 kg","75,000 kg","1,00,000 kg","75,000 kg"
403,"Karnataka’s flagship Shakti Scheme, which recently entered the Golden Book of World Records, was launched in which year?",2022,2023,2024,2025,2020,2023
404,"As per government data, what is the NPA percentage on outstanding Mudra loans under PMMY as of March 2025?",5.47%,7.21%,9.81%,3.6%,4.81%,9.81%
405,Till which date has the Ministry of Finance suspended the 11% import duty on cotton in 2025?,30 August,30 September,15 October,31 December,31 March,30 September
406,"TCL, a global technology company, has appointed which freestyle skier as its global brand ambassador ahead of the 2026 Milano Cortina Winter Olympics?",Eileen Gu,Chloe Kim,Mikaela Shiffrin,Lindsey Vonn,Karen Persyn,Eileen Gu
407,The Ministry of Defence is hosting the first Tri-Services Seminar “Ran Samwad” at which location to discuss Technology and Future Warfare?,"Indian Military Academy, Dehradun","College of Defence Management, Secunderabad","Army War College, Mhow","National Defence Academy, Pune","Military College of Electronics and Mechanical Engineering, Secunderabad","Army War College, Mhow"
408,What is the revised coal & lignite-based thermal power capacity addition target set by the Government of India for FY35?,80 GW,90 GW,97 GW,100 GW,110 GW,97 GW
409,"The Kamaladevi Chattopadhyay NIF Book Prize, recently longlisted for 2025, was instituted in which year?",2016,2017,2018,2019,2020,2018
410,"Which bill, passed by the Lok Sabha on 20th August 2025, seeks to promote e- sports and skill-based social games while completely banning harmful online money gaming services?","Online Gaming (Regulation & Prohibition) Bill, 2025","Promotion and Regulation of Online Gaming Bill, 2025","Digital Gaming & Safety Bill, 2025","Safe Internet & Gaming Act, 2025","E-Sports Development and Prohibition of Gambling Bill, 2025","Promotion and Regulation of Online Gaming Bill, 2025"
411,Sadbhavana Diwas or Communal Harmony Day is observed on 20 August to commemorate the birth anniversary of which Indian Prime Minister?,Indira Gandhi,Rajiv Gandhi,Atal Bihari Vajpayee,Jawaharlal Nehru,Manmohan Singh,Rajiv Gandhi
412,Which satellite-based internet provider has been onboarded by UIDAI to use Aadhaar Authentication for customer verification?,OneWeb,Starlink Satellite Communication Pvt Ltd,HughesNet,Viasat,BSNL Satellite,Starlink Satellite Communication Pvt Ltd
413,"Recently, AU Small Finance Bank launched UPI services for NRE/NRO account holders using international mobile numbers. How many countries’ NRIs can benefit from this feature?",8 countries,10 countries,12 countries,15 countries,20 countries,12 countries
414,"According to the latest report by SBI Economic Research Department, which bank emerged as the top beneficiary bank in UPI transactions?",State Bank of India (SBI),HDFC Bank,ICICI Bank,Yes Bank Limited,Punjab National Bank (PNB),Yes Bank Limited
