Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
327,Who has been appointed as the next Chief Justice of the Orissa High Court in 2025?,Justice Chakradhari Sharan Singh,Justice Dipankar Dutta,Justice Subhasis Talapatra,Justice S. Muralidhar,Justice Harish Tandon,Justice Harish Tandon
328,The International Day of the Unborn Child is observed annually on which day ?,23 March,24 March,25 March,26 March,27 March,25 March
329,Where was the 614th meeting of the Central Board of Directors of the Reserve Bank of India held?,Bengaluru,New Delhi,Thiruvananthapuram,Ahmedabad,Mumbai,Thiruvananthapuram
330,How much does Ribbit Capital aim to raise for its new fund?,$300 million,$500 million,$800 million,$1 billion,$1.15 billion,$500 million
331,S K Majumdar appointed as new Executive Director for a term of three years of which bank ?,HDFC Bank,Karnataka Bank,Bank of baroda,Canara Bank,Bank of Maharashtra,Canara Bank
332,What is the primary objective of Indonesia joining the BRICS’ New Development Bank?,Strengthening military cooperation,Accelerating economic transformation,Reducing trade dependence on ASEAN,Expanding tourism sector,Promoting cryptocurrency adoption,Accelerating economic transformation
333,What is the new monthly salary of MPs after the recent revision?,Rs.1.00 lakh,Rs.1.10 lakh,Rs.1.24 lakh,Rs.1.50 lakh,Rs.1.75 lakh,Rs.1.24 lakh
334,Which Ministry conducted the Indian Web Browser Development Challenge (IWBDC)?,Ministry of Finance,Ministry of Home Affairs,Ministry of Electronics and Information Technology (MeitY),Ministry of Social Justice and Empowerment,Ministry of Law and Justice,Ministry of Electronics and Information Technology (MeitY)
335,Which country did India share the bronze medal with in the mixed quad category at the ISTAF Sepak Takraw World Cup 2025 ?,Malaysia,Thailand,Indonesia,Vietnam,South Korea,Vietnam
336,Wipro has signed a £500 million deal with which UK-based company for life and pension administration services?,Aviva,Prudential,Phoenix Group,Legal & General,Standard Life,Phoenix Group
337,Which authority has granted a license for commercial flight operations at Belora Airport in Amravati?,AAI (Airports Authority of India),Ministry of Civil Aviation,Directorate General of Civil Aviation (DGCA),Indian Air Force,NITI Aayog,Ministry of Civil Aviation
338,What is the purpose of ParakhAI under the India AI Mission?,AI-based healthcare assistant,AI-powered chatbot,AI auditing system for ethical reporting,AI for financial transactions,AI-driven weather forecasting,AI auditing system for ethical reporting
339,"The Agricultural and Processed Food Products Export Development Authority (APEDA) recently facilitated the first export of 15,000 kg of which GI- tagged agricultural product from Sikkim?",Bhut Jolokia,Dalle Chilly,Basmati Rice,Sikkim Orange,Lakadong Turmeric,Dalle Chilly
340,Which country’s consortium is setting up a green ammonia plant in Odisha by 2030?,USA,Japan,Germany,China,Russia,Japan
341,Which edition of Report Annual ranking of 500 high-growth Asia-Pacific companies published this year ?,4th,5th,6th,7th,8th,7th
342,India and which country has signed a Letter of Intent (LoI) on Green and Digital Shipping Corridor (GDSC) collaboration ?,Netherlands,Mauritius,Moldova,Singapore,UAE,Singapore
343,How old was George Foreman when he made a historic return to win the world heavyweight boxing title?,35,38,40,45,50,45
344,How many years has Equitas Small Finance Bank partnered with Chennai Super Kings (CSK)?,2 years,3 years,4 years,5 years,6 years,6 years
345,Why has the Reserve Bank of India (RBI) imposed a Rs.75 lakh penalty on HDFC Bank?,For not maintaining minimum CRR,For financial frauds,For non-compliance with KYC norms,For violating RBI's forex regulations,None of the above,For non-compliance with KYC norms
346,Which organizations have signed a pact to digitally transform rural areas using BharatNet broadband?,TRAI and NABARD,DoT and NABARD,NITI Aayog and NABARD,DoT and SEBI,None of the above,DoT and NABARD
347,What is the maximum time limit set by IRDAI for approving cashless authorization requests?,30 minutes,1 hour,2 hours,3 hours,4 hours,1 hour
348,The SANSAD BHASHINI initiative promotes which of the following aspects within Parliament?,Security and surveillance,Infrastructure modernization,Linguistic inclusivity and digital workflows,Data protection laws,Voting system reforms,Linguistic inclusivity and digital workflows
349,Which two institutions recently signed an MoU to collaborate on the development of advanced medical devices?,CSIR and ICMR,DRDO and AIIMS,ISRO and AIIMS,BARC and PGIMER,SAMEER and AIIMS,SAMEER and AIIMS
350,Which country’s wrestler did Sunil Kumar defeat in the bronze medal match?,Iran,Japan,Tajikistan,China,Kazakhstan,China
351,Parminder Chopra has been given additional charge as CMD of which public sector company?,NTPC Limited,Power Grid Corporation,REC Limited,NHPC Limited,BHEL,REC Limited
352,Who is the first Indian woman to enter the global top 10 richest women list?,Roshni Nadar,Falguni Nayar,Kiran Mazumdar-Shaw,Savitri Jindal,None of the above,Roshni Nadar
353,"Sanjay Kumar Mishra, who was recently appointed as a full-time member of the EAC-PM, previously served as the chief of which agency?",Central Bureau of Investigation (CBI),Reserve Bank of India (RBI),Enforcement Directorate (ED),Income Tax Department,Intelligence Bureau (IB),Enforcement Directorate (ED)
354,What is the name of the newly inaugurated Centre of Excellence at IIT- Madras?,Abdul Kalam Research Centre,Vikram Sarabhai Institute,Rakesh Sharma Aerospace Lab,S Ramakrishnan Centre of Excellence,Aryabhata Space Innovation Hub,S Ramakrishnan Centre of Excellence
355,When is World Purple Day observed annually?,23 March,24 March,25 March,26 March,27 March,26 March
356,World Theatre Day is celebrated annually on which day ?,23 March,24 March,25 March,26 March,27 March,27 March
