Q#,Question,Option1,Option2,Option3,Option4,Option5,Answer
282,From where did scientists recently extract 18–20 million-year-old enamel proteins from extinct mammal fossils?,Lake Victoria Basin,Great Rift Valley,Lake Turkana Basin,Congo Basin,Sahara Desert,Lake Turkana Basin
283,Which city is hosting the 27th Eastern Zonal Council Meeting chaired by Amit Shah?,Patna,Kolkata,Bhubaneswar,Ranchi,Raipur,Ranchi
284,"Which former MP and MLA from Gonda, known as the “UP Tiger,” recently passed away?",Kunwar Anand Singh,Raja Raghvendra Pratap Singh,Brij Bhushan Sharan Singh,Vir Bahadur Singh,Rajnath Singh,Kunwar Anand Singh
285,When is the International Day of Combating Sand and Dust Storms observed?,5 June,17 June,15 September,25 August,12 July,12 July
286,Why is 12th July observed as Malala Day?,To celebrate women's right to vote,To honor Malala Yousafzai’s contribution to girls' education,To recognize Nobel Prize winners from Pakistan,To promote anti-terrorism awareness,To commemorate International Literacy Day,To honor Malala Yousafzai’s contribution to girls' education
287,"As per SEBI norms, how much stake does the government need to offload in LIC to meet the 10% public shareholding mandate by May 16, 2027?",3.5%,10%,6.5%,5%,4.5%,6.5%
288,"According to NPCI data for June 2025, which platform processed the highest number of UPI transactions in India?",PhonePe,Google Pay,Paytm,Amazon Pay,BHIM,PhonePe
289,Why did the Reserve Bank of India impose a Rs.2.70 lakh penalty on Shriram Finance Limited in 2025?,For KYC non-compliance,For routing loan repayments through a third-party account,For NPA misclassification,For issuing loans without collateral,For violating CRR norms,For routing loan repayments through a third-party account
290,Which bank recently withdrew the 'fraud' classification on Reliance Communications' loan account after a court stay?,SBI,Union Bank,Canara Bank,PNB,Bank of Baroda,Canara Bank
291,"Which state recently passed the Special Public Security Bill, 2024 aimed at curbing unlawful activities of Left-Wing Extremist organisations?",Maharashtra,Telangana,Andhra Pradesh,Jharkhand,Odisha,Maharashtra
292,Where was the Dholpur Science Centre inaugurated to promote innovation and scientific learning among youth?,"Jaipur, Rajasthan","Dholpur, Rajasthan","Jodhpur, Rajasthan","Udaipur, Rajasthan","Kota, Rajasthan","Dholpur, Rajasthan"
293,Which of the following products from Bihar has NOT been added to the e- NAM platform recently?,Shahi Litchi,Marcha Rice,Katarni Rice,Kala Namak Rice,Jardaalu Mango,Kala Namak Rice
294,"What is the current FIFA ranking of the Indian men’s football team as of June 2025, marking its lowest position in nine years?",127,135,94,120,133,133
295,Which Indian heritage site was recently inscribed as India’s 44th UNESCO World Heritage Site in 2025?,Kakatiya Rudreshwara Temple,Maratha Military Landscapes of India,Sacred Ensembles of Hoysalas,Satpura Tiger Reserve,Majuli River Island,Maratha Military Landscapes of India
296,"Who became the first batter to score 3,000 Test runs against India?",Steve Smith,Ricky Ponting,Joe Root,Alastair Cook,Kane Williamson,Joe Root
297,Which state has recently approved the Gaja Mitra Scheme to tackle human- elephant conflict?,Karnataka,Odisha,Assam,Kerala,West Bengal,Assam
298,Who won the 2025 United Nations Population Award in the individual category?,Sunitha Krishnan,Varsha Deshpande,Kailash Satyarthi,Vandana Shiva,Aruna Roy,Varsha Deshpande
299,Who inaugurated the new state-of-the-art office of MSTC Limited and launched the Upkaran E-Portal?,Jyotiraditya Scindia,H.D. Kumaraswamy,Nitin Gadkari,Piyush Goyal,Rajnath Singh,H.D. Kumaraswamy
300,Which state will plant over 5 lakh saplings on 16th July to mark the Harela festival?,Himachal Pradesh,Uttarakhand,Sikkim,Assam,Manipur,Uttarakhand
301,What is the Indian government promoting as an alternative to Jhum cultivation in North-East India?,Terrace Farming,Organic Farming,Settled Farming,Mixed Farming,Hydroponics,Settled Farming
302,What is the name of the operation launched by Uttarakhand Police to target individuals impersonating saints and cheating the public?,Operation Dharmrakshak,Operation Sadbhavana,Operation Kalanemi,Operation Shuddhi,Operation Tapasya,Operation Kalanemi
303,Which Indian state has collected the highest amount under the District Mineral Foundation (DMF) fund?,Jharkhand,Rajasthan,Odisha,Madhya Pradesh,Chhattisgarh,Odisha
304,Which three African World Heritage Sites were recently removed from NESCO’s List of World Heritage in Danger?,"Pyramids of Giza, Serengeti National Park, Timbuktu","Abu Mena, Rainforests of the Atsinanana, Old Town of Ghadamès","Great Zimbabwe, Kilimanjaro National Park, Okavango Delta","Luxor Temple, Victoria Falls, Lalibela Churches","Djenné Mosque, Bwindi Forest, Sahara Rock Art","Abu Mena, Rainforests of the Atsinanana, Old Town of Ghadamès"
305,Who has been conferred the Chintha Raveendran Award for 2025?,Bhalchandra Nemade,Sarankumar Limbale,Shanta Gokhale,Laxman Gaikwad,Namdeo Dhasal,Sarankumar Limbale
306,With which organization has the Indian Navy signed an agreement to implement the National Maritime Domain Awareness (NMDA) Project?,Hindustan Aeronautics Limited (HAL),Bharat Electronics Limited (BEL),DRDO,Larsen & Toubro (L&T),Tata Advanced Systems,Bharat Electronics Limited (BEL)
307,What does France celebrate on Bastille Day?,French Independence from Britain,End of World War II,Storming of the Bastille prison,Coronation of Napoleon Bonaparte,Signing of the Treaty of Versailles,Storming of the Bastille prison
308,Who has been appointed to the Board of Directors of the United States-India Strategic Partnership Forum (USISPF) in 2025?,Mukesh Ambani,Gautam Adani,Kumar Mangalam Birla,Natarajan Chandrasekaran,Sunil Bharti Mittal,Kumar Mangalam Birla
309,"By what percentage did India’s net direct tax collection fall between April 1 and July 10, 2025?",1.3%,0.5%,2.7%,3.8%,4.5%,1.3%
310,The RBI’s draft norms for the closure of shipping bills in EDPMS allow relaxed procedures for bills of what maximum value per shipping bill?,Rs.5 lakh,Rs.10 lakh,Rs.15 lakh,Rs.20 lakh,Rs.25 lakh,Rs.10 lakh
311,"As per recent government and RBI discussions, how many Indian banks are currently ranked among the top 100 global banks by total assets?",1,5,3,4,2,2
312,Which two companies have partnered to offer discounts to Tata NeuCard users on Zomato orders?,Swiggy & ICICI Bank,Zomato & Paytm,Zomato & HDFC Bank,Zomato & Tata Digital,HDFC Bank & PhonePe,Zomato & Tata Digital
313,Where did ISRO conduct the short-duration hot tests of the Gaganyaan Service Module Propulsion System (SMPS)?,"Satish Dhawan Space Centre, Sriharikota","ISRO Propulsion Complex, Mahendragiri","Vikram Sarabhai Space Centre, Thiruvananthapuram","Space Applications Centre, Ahmedabad","U R Rao Satellite Centre, Bengaluru","ISRO Propulsion Complex, Mahendragiri"
314,Which Indian agency carried out the rescue operation for the U.S. sailing vessel 'Sea Angel' near Andaman & Nicobar Islands?,Indian Navy,Indian Coast Guard,National Disaster Response Force,Indian Air Force,Shipping Corporation of India,Indian Coast Guard
315,"Recently, how much worth of transformative projects were inaugurated by Finance Minister Nirmala Sitharaman in Meghalaya?",Rs.987.81 crore,"Rs.2,087 crore","Rs.5,400 crore","Rs.1,500 crore","Rs.1,087.81 crore","Rs.1,087.81 crore"
316,"According to Forbes America’s Richest Immigrants 2025 report, which country is the top source of immigrant billionaires in the USA?",China,Israel,Taiwan,India,Germany,India
317,What is the name of the new smart card being introduced by Delhi Transport Corporation (DTC) to provide free bus travel to verified women and transgender residents?,Shakti Card,Mahila Mobility Card,Saheli Smart Card,Dilli Travel Pass,Freedom Pass,Saheli Smart Card
318,Who among the following is NOT one of the four personalities recently nominated by President Droupadi Murmu to the Rajya Sabha in 2025?,Ujjwal Deorao Nikam,Harsh Vardhan Shringla,C Sadanandan Master,Dr Meenakshi Jain,Raghuram Rajan,Raghuram Rajan
319,How much subsidy has the Indian government proposed to boost rare earth magnets production?,"Rs.1,000 crore","Rs.1,200 crore","Rs.1,345 crore","Rs.1,500 crore","Rs.1,245 crore","Rs.1,345 crore"
320,What is the name of India’s first indigenous Beyond Visual Range Air-to-Air Missile (BVRAAM) successfully test-fired by DRDO and the Indian Air Force?,Agni Air,Astra,Akash,Trishul,Varunastra,Astra
321,"Where was the 11th India Maize Summit held, and what is the maize production target set for 2047?",Mumbai; 50 million tonnes,New Delhi; 86 million tonnes,Hyderabad; 75 million tonnes,Bengaluru; 60 million tonnes,Kolkata; 90 million tonnes,New Delhi; 86 million tonnes
322,Which new online portal has been launched by the Department of Empowerment of Persons with Disabilities for DDRS and DDRC proposals?,grants-msje.gov.in,grants.depwd.gov.in,e-sarthi.gov.in,divyangportal.gov.in,ddrs-online.gov.in,grants.depwd.gov.in
323,Till which date has the tenure of Union Home Secretary Govind Mohan been extended?,30 September 2024,31 December 2025,22 August 2026,23 August 2024,1 January 2026,22 August 2026
324,Who has been conferred with the ‘Hem Bahadur Malla Award 2080’ in Nepal?,Hari Prasad Sharma,Kalyan Shrestha,Prakashman Singh Raut,Sushila Karki,Deepak Raj Joshee,Kalyan Shrestha
325,Where was the Uttar Pradesh Agritech Innovation Hub and the Agritech Startup & Technology Showcase inaugurated?,"Sardar Vallabhbhai Patel University of Agriculture & Technology, Meerut","Banaras Hindu University, Varanasi",IIT Kanpur,Lucknow University,"CSA University of Agriculture, KanPur","Sardar Vallabhbhai Patel University of Agriculture & Technology, Meerut"
326,"Recently, Union Finance Minister Nirmala Sitharaman launched infrastructure projects worth how much in Meghalaya?",Rs.800 crore,"Rs.1,000 crore","Rs.1,200 crore","Rs.1,500 crore","Rs.2,000 crore","Rs.1,500 crore"
327,Who won the Wimbledon 2025 Men’s Singles Title?,Carlos Alcaraz,Novak Djokovic,Alexander Zverev,Jannik Sinner,Daniil Medvedev,Jannik Sinner
328,What is the name of the security operation launched by the Indian Army for the safe conduct of the Amarnath Yatra 2025?,Operation Trinetra,Operation Amarnath,Operation SHIVA,Operation Suraksha,Operation Raksha,Operation SHIVA
329,Which two teams from Europe qualified for the ICC Men’s T20 World Cup 2026 on the final day of the Europe Qualifiers?,Scotland and Netherlands,Germany and Italy,Italy and Netherlands,Ireland and Scotland,Germany and Scotland,Italy and Netherlands
330,Who won the Wimbledon 2025 Women’s Singles Title?,Amanda Anisimova,Aryna Sabalenka,Coco Gauff,Iga Swiatek,Elena Rybakina,Iga Swiatek
331,What was India’s Wholesale Price Index (WPI) inflation rate in June 2025?,0.39%,3.43%,-0.13%,2.05%,2.31%,-0.13%
332,What is the name of the new insurance sector index launched by Asia Index Private Limited?,BSE Financial Index,BSE Insurance Index,BSE Banking & Insurance Index,India Insurance Benchmark,BSE Secure Index,BSE Insurance Index
333,What is the name of the next-generation payment gateway launched by Computer Age Management Services (CAMS)?,CAMSPay Payment Gateway,CAMS ClickPay,CAMSPay Direct,CAMS SecurePay,CAMS Express Gateway,CAMSPay Payment Gateway
334,"What was India’s Consumer Price Index (CPI) inflation rate in June 2025, marking a 6-year low?",2.10%,1.97%,2.82%,2.05%,3.00%,2.10%
335,"How many services are now included in the updated Citizen’s Charter of RBI as of July 1, 2025?",133,58,180,204,150,204
336,"Who has been appointed as the new Managing Director and CEO of GIFT City Company Limited, Gandhinagar?",Tapan Ray,Sanjay Kaul,Ramesh Chand,Rajesh Kumar Singh,Ajay Bhushan Pandey,Sanjay Kaul
337,"According to the 2024 Economic Impact Trends (EIR) Report, what is India’s rank in Travel & Tourism sector contribution to GDP?",5th,6th,7th,8th,12th,8th
338,"What is the objective of Project Janam Shakti, recently implemented in Ferozepur, Punjab?",Provide free education to pregnant women,Reduce maternal mortality and ensure better natal care,Promote home-based deliveries,Increase women’s employment in healthcare,Launch a nutrition drive for infants,Reduce maternal mortality and ensure better natal care
339,Which football club won the FIFA Club World Cup 2025 by defeating PSG 3-0 in the final?,Real Madrid,Chelsea,Manchester City,Bayern Munich,AC Milan,Chelsea
340,Which institute has signed an MoU with the Ministry of Electronics and Information Technology (MeitY) to launch an 8-week Professional Development Program in Cybersecurity?,IIT Delhi,IIIT Hyderabad,BITS Pilani,NIT Trichy,IISc Bengaluru,BITS Pilani
341,What is the name of the recent military drill conducted by the Indian Army in Meerut focusing on modern warfare technologies?,Vajra Shakti,Prachand Shakti,Garuda Shakti,Shatrujeet Shakti,Sudarshan Shakti,Prachand Shakti
342,"Who has been appointed as the 20th Governor of Goa, replacing P S Sreedharan Pillai?",Kavinder Gupta,Pusapati Ashok Gajapathi Raju,Professor Ashim Kumar Ghosh,Bandaru Dattatreya,Brigadier (Retd.) B.D. Mishra,Pusapati Ashok Gajapathi Raju
343,"Which military exercise is India participating in along with 18 other nations, led by Australia, that began on July 13, 2025?",Rim of the Pacific (RIMPAC),Talisman Sabre 2025,Cobra Gold,Pitch Black,Malabar Exercise,Talisman Sabre 2025
344,Where is the 2nd BIMSTEC Ports Conclave being held in July 2025?,Kolkata,Visakhapatnam,Chennai,Colombo,Bangkok,Visakhapatnam
345,Who has become the first woman Director General of the Railway Protection Force (RPF)?,Archana Ramasundaram,Sonali Mishra,Rekha Sharma,Kiran Bedi,Smita Sabharwal,Sonali Mishra
346,Which company recently received final regulatory approval from IN-SPACe to offer commercial satellite broadband services in India?,OneWeb,Jio-SES JV,Starlink Satellite Communications Pvt. Lt,D. Hughes Communications,Viasat,Starlink Satellite Communications Pvt. Lt
347,"India has achieved what milestone in its energy transition journey, five years ahead of its Nationally Determined Contributions (NDC) target?",40% of electricity capacity from renewables,50% of installed electricity capacity from non-fossil fuels,100 GW solar power installed,Net-zero emissions achieved,300 GW wind power capacity,50% of installed electricity capacity from non-fossil fuels
348,Who was the 114-year-old marathon runner known as the “Turbaned Tornado” who recently passed away in a road accident?,Milkha Singh,Fauja Singh,Gurbachan Singh Randhawa,Sardar Singh,Harbhajan Singh,Fauja Singh
349,What is the name of the next-generation Shinkansen train set to be introduced in the Mumbai-Ahmedabad Bullet Train Project in collaboration with Japan?,E5 Shinkansen,E6 Shinkansen,E10 Shinkansen,N700 Shinkansen,E7 Shinkansen,E10 Shinkansen
350,"Which veteran actor-producer, known for films like Heera Panna, Roti Kapada Aur Makaan, and Kranti, recently passed away at the age of 79?",Dheeraj Kumar,Prem Chopra,Dharmendra,Raj Babbar,Raza Murad,Dheeraj Kumar
351,On which date was the National Cadet Corps (NCC) formally inaugurated in independent India?,26 January 1950,15 August 1947,15 July 1948,16 April 1948,1 July 1949,15 July 1948
352,Which state won the IESA Industry Excellence Award 2025 for State Leadership in Battery Manufacturing during the 11th India Energy Storage Week (IESW)?,Telangana,Maharashtra,Gujarat,Karnataka,Odisha,Telangana
353,What is the theme of World Youth Skills Day 2025?,Youth Empowerment through AI and Digital Skills,Building Skills for a Better Future,Skilling the Youth for Green Jobs,Transforming Education for Skills Development,Skills for Inclusive Growth,Youth Empowerment through AI and Digital Skills
354,"Which two Cyprus-based firms announced a Rs.10,000 crore investment in the Indian shipping industry in 2025?",Maersk Line & COSCO,Interorient Navigation & Danship & Partners,MSC Shipping & CMA CGM,Evergreen Marine & HMM Co Ltd,NYK Line & K Line,Interorient Navigation & Danship & Partners
355,Which Taiwanese bank has recently applied to set up an IFSC Banking Unit in GIFT City?,Fubon Bank,Taiwan Bank,E.SUN Bank,Mega Bank,CTBC Bank,CTBC Bank
356,Who has been appointed as the Interim MD & CEO of Karnataka Bank?,Srikrishnan Hari Hara Sarma,Raghavendra Srinivas Bhat,Sanjay Kaul,Tapan Ray,Rajesh KuLmar,Raghavendra Srinivas Bhat
357,Which new credit rating agency has RBI allowed banks to use for rating non- resident corporations in IFSCs under amended Basel III norms?,CRISIL,ICRA,CareEdge Global IFSC Limited,Fitch Ratings,Moody’s,CareEdge Global IFSC Limited
358,What is the name of the national-level competition launched by NSO and the Ministry of Education’s Innovation Cell to promote data innovation?,Data Challenge India,Viksit Bharat Hackathon,Statathon – A Data Journey Towards Viksit Bharat,Digital Census Innovation Drive,Bharat Data Quest,Statathon – A Data Journey Towards Viksit Bharat
359,What is the global rank of India’s National Stock Exchange (NSE) in IPO fundraising during the first half of 2025?,1st,2nd,3rd,4th,5th,4th
360,How much investment has BITS Pilani planned for setting up the new AI+ campus at Amaravati?,"Rs.1,000 crore","Rs.2,000 crore","Rs.2,319 crore","Rs.1,319 crore","Rs.2,500 crore","Rs.2,319 crore"
361,Which Indian state became the first to support the Cruise Bharat Mission by framing a dedicated Cruise Shipping Policy?,Maharashtra,Gujarat,Goa,Kerala,Tamil Nadu,Gujarat
362,Which organization has developed India’s first cost-effective advanced Carbon Fibre Foot Prosthesis under the Make-in-India initiative?,ISRO & AIIMS Delhi,DRDO-DRDL & AIIMS Bibinagar,BARC & IIT Bombay,HAL & NIMHANS Bengaluru,CSIR & AIIMS Raipur,DRDO-DRDL & AIIMS Bibinagar
363,The Government is set to issue a commemorative coin in honor of which Indian personality known as the Father of Green Revolution?,Verghese Kurien,M.S. Swaminathan,M. Visvesvaraya,N.T. Rama Rao,A.P.J. Abdul Kalam,M.S. Swaminathan
364,What is the name of the scheme launched by the Department of Telecommunications to promote telecom awareness through student volunteers?,Digital Doot Scheme,Sanchar Mitra Scheme,Cyber Yoddha Scheme,Telecom Sevak Yojana,Digital Rakshak Programme,Sanchar Mitra Scheme
365,"Where was India’s second longest cable-stayed bridge, the Sigandur Bridge, recently inaugurated?",Gujarat,Karnataka,Maharashtra,Kerala,Andhra Pradesh,Karnataka
366,"As per the recent announcement, what will be the new monthly assistance amount under the Ladli Behna Scheme in Madhya Pradesh from October 2025?",Rs.1000,Rs.1250,Rs.1500,Rs.2000,Rs.2500,Rs.1500
367,Which global fashion brand is partnering with Maharashtra artisans to produce Kolhapuri-inspired sandals?,Gucci,Louis Vuitton,Prada,Armani,Versace,Prada
368,Where did Union Minister Nirmala Sitharaman inaugurate the ‘North-East Conclave 2025’?,IIT Guwahati,IIM Shillong,NIT Manipur,Tripura University,Assam University,IIM Shillong
369,Where was India’s first-ever water technology park ‘Aqua Tech Park’ inaugurated in 2025?,"Bengaluru, Karnataka","Kochi, Kerala","Bagibari, Sonapur, Assam","Hyderabad, Telangana","Bhubaneswar, Odisha","Bagibari, Sonapur, Assam"
370,Where was India’s first-ever commercial hydrogen fuel cell bus service launched?,Sikkim,Ladakh,Himachal Pradesh,Uttarakhand,Arunachal Pradesh,Ladakh
371,Which global organization recently released a technical brief recognizing India’s leadership in integrating AI with traditional medicine?,World Health Organisation (WHO),World Economic Forum,UNESCO,United Nations Development Programme (UNDP),International Telecommunication Union (ITU),World Health Organisation (WHO)
372,Where was the 75th Pradhan Mantri Divyasha Kendra (PMDK) inaugurated?,"Lucknow, Uttar Pradesh","Kanpur, Uttar Pradesh","Badaun, Uttar Pradesh","Varanasi, Uttar Pradesh","Agra, Uttar Pradesh","Badaun, Uttar Pradesh"
373,India recently signed a fertiliser supply deal with which country's company for 3.1 million MT of DAP annually?,Saudi Arabia,Russia,China,UAE,Iran,Saudi Arabia
374,"Who among the following is popularly known as the ""Kingmaker"" in Indian politics and proposed the famous 'Kamaraj Plan'?",C. Rajagopalachari,K. Kamaraj,Morarji Desai,Lal Bahadur Shastri,Jagjivan Ram,K. Kamaraj
375,How many medals did Indian cueists win at the inaugural Billiards Championships 2025 held in Mauritius?,3,4,5,6,2,5
376,What is the name of the scheme launched by SEBI in 2025 to aid the settlement of violations related to the winding-up provisions of migrated Venture Capital Funds (VCFs)?,VCF Resolution Scheme 2025,Venture Capital Closure Scheme,Venture Capital Fund Settlement Scheme 2025,SEBI Fund Liquidation Plan,Alternative Investment Regularisation Scheme,Venture Capital Fund Settlement Scheme 2025
377,"UIDAI has urged parents to complete the Aadhaar biometric update for children in which age bracket, free of cost?",3 to 5 years,6 to 8 years,0 to 5 years,5 to 7 years,7 to 10 years,5 to 7 years
378,How much is SBI planning to raise via QIP route in FY26?,"Rs.10,000 crore","Rs.15,000 crore","Rs.22,560 crore","Rs.25,000 crore","Rs.30,000 crore","Rs.25,000 crore"
379,Which company recently received in-principle approval from the Reserve Bank of India (RBI) to operate as a Payment Aggregator for Cross-Border (PA-CB) transactions?,Skydo,BriskPe,EximPe,Pay10,Worldline,EximPe
380,What is the name of the unified portal launched by NABARD to support rural tech start-ups?,AgriTech Bharat,KrishiConnect,RuralTech CoLab,NABARD Innovate,GramTech Hub,RuralTech CoLab
381,Which Japanese bank recently increased its stake in Yes Bank to just under 25%?,Mitsubishi UFJ Financial Group,Sumitomo Mitsui Banking Corporation (SMBC),Mizuho Bank,Japan Post Bank,Resona Holdings,Sumitomo Mitsui Banking Corporation (SMBC)
382,What was the food inflation rate in India for June 2025 over June 2024 as per the Consumer Food Price Index (CFPI)?,-0.85%,-0.92%,-1.06%,-1.22%,2.10%,-1.06%
383,Which two financial groups have announced a joint venture to provide wealth management services to affluent individuals in Japan?,SBI Holdings and Mitsubishi UFJ Financial Group,Sumitomo Mitsui Financial Group and SBI Holdings,State Bank of India and SoftBank Group,Nomura Holdings and SBI Holdings,Sumitomo Mitsui Financial Group and Daiwa Securities,Sumitomo Mitsui Financial Group and SBI Holdings
384,Who has recently announced the prestigious Prime Minister Professorships aimed at fostering research and innovation in emerging institutions?,University Grants Commission (UGC),Anusandhan National Research Foundation (ANRF),Ministry of Education,Indian National Science Academy (INSA),Council of Scientific and Industrial Research (CSIR),Anusandhan National Research Foundation (ANRF)
385,Who became the first Indian to visit the International Space Station (ISS)?,Rakesh Sharma,Kalpana Chawla,Shubhanshu Shukla,Sunita Williams,Rajesh Sharma,Shubhanshu Shukla
386,Which state emerged as the top performer in the National One District One Product (ODOP) Awards 2024?,Uttar Pradesh,Gujarat,Andhra Pradesh,Maharashtra,Tamil Nadu,Andhra Pradesh
387,Which company has received a special exemption from investment guidelines to boost renewable energy capacity development?,NTPC Limited,NLC India Limited,ONGC,Power Grid Corporation,GAIL India,NLC India Limited
388,"What is the name of the new agriculture scheme approved by the Cabinet in 2025 with an annual outlay of Rs.24,000 crore?",PM Krishi Samriddhi Yojana,PM Dhan-Dhaanya Krishi Yojana,PM Krishi Unnati Abhiyan,PM Agro Development Scheme,Krishi Kalyan Yojana,PM Dhan-Dhaanya Krishi Yojana
389,"Which state recently introduced the Punjab Prevention of Offences Against Holy Scripture(s) Bill, 2025 to ensure stringent punishment for sacrilege?",Haryana,Rajasthan,Punjab,Uttar Pradesh,Madhya Pradesh,Punjab
390,Which team won the 2025 Major League Cricket (MLC) title by defeating Washington Freedom?,Seattle Orcas,MI New York,San Francisco Unicorns,Texas Super Kings,Los Angeles Knight Riders,MI New York
391,Where was the sacred Behdeinkhlam Festival recently celebrated?,Shillong,Tura,Jowai,Nongpoh,Cherrapunji,Jowai
392,In which country did Reliance Consumer Products Limited (RCPL) launch the iconic Indian soft drink brand Campa in partnership with Chaudhary Group?,Bangladesh,Sri Lanka,Bhutan,Nepal,UAE,Nepal
393,What is the name of the scheme launched by the Ministry of Power to promote the adoption of energy-efficient technologies in industries and MSMEs?,Ujala Plus Scheme,ADEETIE Scheme,Green Energy India Program,Urja Shakti Abhiyan,Smart Energy Mission,ADEETIE Scheme
394,Which city topped the QS Best Student Cities 2026 Rankings?,London,Tokyo,Seoul,Paris,New York,Seoul
395,Which Indian state launched the country’s first Roll-on/Roll-off (RoRo) ferry service on the Mandovi River?,Kerala,Maharashtra,Andhra Pradesh,Gujarat,Goa,Goa
396,"Which city recently launched Project SARTHI, an AI-based Smart Traffic Management System?",Hyderabad,Pune,Bengaluru,Chennai,Visakhapatnam,Visakhapatnam
397,How many grassland bird species were recorded in Kaziranga National Park and Tiger Reserve during the recent survey?,43,36,57,82,69,43
398,"Who was Dr. Deepak Tilak, who recently passed away in Pune?",Chancellor of Tilak Maharashtra Vidyapeeth,Renowned Sanskrit Scholar,Former Governor of Maharashtra,Freedom Fighter and Social Activist,Eminent Economist,Chancellor of Tilak Maharashtra Vidyapeeth
399,"How many Indian banks are now part of the UPI-PayNow linkage between India and Singapore as of July 17, 2025?",13,15,17,19,21,19
400,How much investment has L&T announced for its Katupalli ship-building complex near Chennai?,Rs.500 crore,Rs.800 crore,"Rs.1,000 crore","Rs.1,500 crore","Rs.2,000 crore","Rs.1,000 crore"
401,How much fund will SBI raise via Basel III compliant bonds in FY26?,"Rs.10,000 crore","Rs.15,000 crore","Rs.20,000 crore","Rs.25,000 crore","Rs.30,000 crore","Rs.20,000 crore"
402,Which of the following initiatives was NOT launched by NABARD during its 44th Foundation Day celebration in Chennai?,RuralTech CoLab,NIVARAN Grievance Redressal System,Rural Infrastructure Development Fund (RIDF),Graduated Rural Income Generation Programme (GRIP),Radio Jingle for Financial Inclusion,Rural Infrastructure Development Fund (RIDF)
403,"Which Indian bank will consider issuing bonus shares for the first time on July 19, 2025?",SBI,ICICI Bank,Axis Bank,HDFC Bank,Yes Bank,HDFC Bank
404,Who is leading the IRDAI committee formed to assess the prohibition on mergers between insurance and non-insurance companies?,T. S. Ramakrishnan,Dinesh Kumar Khara,R. Doraiswamy,Ajay Tyagi,Subhash Chandra Khuntia,Dinesh Kumar Khara
405,Who was honored with the Kalinga Ratna Award 2024 during the 600th birth anniversary celebrations of Adikabi Sarala Das?,Dharmendra Pradhan,Bijaya Nayak,Droupadi Murmu,Gopabandhu Das,Nandini Satpathy,Dharmendra Pradhan
406,"Who has been given a one-year extension as Chairman and Managing Director (CMD) of NTPC Limited till July 31, 2026?",Gurdeep Singh,Anil Kumar Jain,Alok Kumar,Rajesh Kumar Singh,Praveer Sinha,Gurdeep Singh
407,"According to the UN SDG Report 2025, what percentage of measurable Sustainable Development Goals (SDG) targets are currently stagnating or reversing?",35%,25%,20%,50%,65%,35%
408,"As per the ANSR report, how many Fortune Global 500 companies had set up GCCs in India as of June 2025?",109,174,142,200,83,174
409,Which authority has recently directed State Adoption Resource Agencies (SARAs) to institutionalize structured counselling services throughout the adoption process?,National Commission for Protection of Child Rights (NCPCR),Central Adoption Resource Authority (CARA),Ministry of Home Affairs,National Institute of Social Defence (NISD),Indian Council of Child Welfare,Central Adoption Resource Authority (CARA)
410,Which veteran West Indies all-rounder recently announced his retirement from international cricket in 2025?,Kieron Pollard,Dwayne Bravo,Andre Russell,Chris Gayle,Sunil Narine,Andre Russell
411,Who has been appointed as the Co-owner and Brand Ambassador of India’s first city-based franchise golf league (IGPL)?,Sachin Tendulkar,Yuvraj Singh,Kapil Dev,MS Dhoni,Virender Sehwag,Yuvraj Singh
412,What is the official name of the recently passed Maharashtra Bill aimed at tackling urban Maoist activities?,"Maharashtra Urban Security Act, 2025","Maharashtra Left-Wing Extremism Prevention Act, 2025","Maharashtra Special Public Security (MSPS) Bill, 2025","Maharashtra Anti-Terrorism Bill, 2025","Maharashtra Peace and Order Act, 2025","Maharashtra Special Public Security (MSPS) Bill, 2025"
413,Where did the Indian Army successfully conduct trials of the Akash Prime air defence system in July 2025?,Sikkim,Arunachal Pradesh,Ladakh,Rajasthan,Punjab,Ladakh
414,Which missile system has India recently requested for co-production with the United States?,Spike ATGM,Javelin ATGM,Stinger Missile,Hellfire Missile,Patriot Missile,Javelin ATGM
415,From which company did India receive the second GE F404-IN20 engine for the Tejas Mk1A programme?,Rolls-Royce Aerospace,Pratt & Whitney,Boeing Defense,Safran Aircraft Engines,General Electric Aerospace,General Electric Aerospace
416,What is the core principle behind Maglev (Magnetic Levitation) technology recently tested by China?,Use of jet propulsion for high-speed trains,Electromagnetic levitation to reduce friction,Solar-powered tracks for transportation,Magnetic brakes for emergency stopping,Pneumatic propulsion in vacuum tubes,Electromagnetic levitation to reduce friction
417,"As of June 2025, what is the actual share of clean energy in India’s electricity supply despite having 50% installed capacity from non-fossil sources?",50%,40%,30%,28%,75%,28%
418,When is the World Day for International Justice observed?,15th July,17th July,20th July,10th December,24th October,17th July
419,Who has been appointed as the new Executive Director (ED) of Axis Bank for a term of three years?,Neeraj Gambhir,Sandeep Bakhshi,Arjun Chowdhry,Amitabh Chaudhry,Shikha Sharma,Neeraj Gambhir
420,"When was NSDL Payments Bank Limited included in the Second Schedule of the RBI Act, 1934?","July 17, 2025","July 10, 2025","June 19, 2025","July 01, 2025","June 30, 2025","June 19, 2025"
421,Which major UK bank became the first to exit the Net Zero Banking Alliance (NZBA) in 2025?,Barclays,Lloyds Bank,NatWest,Standard Chartered,HSBC,HSBC
